Date,DAX,SPY,BAC,JNJ,AAPL,VWAGY
2017-10-02,12902.650391,235.047363,23.515862,118.040184,36.698429,16.062286
2017-10-04,12970.519531,235.829849,23.598471,119.542435,36.619701,16.448412
2017-10-05,12968.049805,237.227158,23.983978,119.812332,37.07542,16.519743
2017-10-06,12955.94043,236.957031,24.057404,119.839279,37.053932,16.547321
2017-10-09,12976.400391,236.565765,23.726973,120.046196,37.182777,16.476944
2017-10-10,12949.25,237.189896,23.800407,120.450996,37.197086,16.59107
2017-10-11,12970.679688,237.562515,23.708618,122.924812,37.352184,16.819321
2017-10-12,12982.889648,237.208572,23.359827,123.086731,37.220959,16.829784
2017-10-13,12991.870117,237.497345,23.708618,122.726898,37.457169,16.752748
2017-10-16,13003.700195,237.814041,24.08494,122.448029,38.146713,16.790791
2017-10-17,12995.05957,237.981735,24.048229,126.648987,38.287483,16.648609
2017-10-18,13043.030273,238.214615,24.305235,126.550034,38.11808,16.87163
2017-10-19,12990.099609,238.279816,24.397018,127.773415,37.216187,16.762259
2017-10-20,12991.280273,239.50943,24.938566,128.097244,37.280605,16.643379
2017-10-23,13003.139648,238.577896,24.929386,129.194717,37.261513,16.59107
2017-10-24,13013.19043,238.997101,25.406677,127.413612,37.48341,16.895407
2017-10-25,12953.410156,237.814041,25.360785,128.061264,37.318779,16.814568
2017-10-26,13133.280273,238.121445,25.461754,127.566536,37.557373,16.664776
2017-10-27,13217.540039,240.06839,25.516825,127.539513,38.903057,17.071352
2017-10-30,13229.570313,239.174118,25.333246,125.938316,39.778709,17.658623
2017-11-01,13465.509766,239.863449,25.268997,125.920326,39.81926,18.550232
2017-11-02,13440.929688,239.956589,25.581076,125.875328,40.110352,18.450373
2017-11-03,13478.860352,240.757736,25.535177,126.010269,41.157791,18.260164
2017-11-06,13468.790039,241.130356,25.47093,125.722412,41.575329,18.307716
2017-11-07,13379.269531,240.962708,24.947737,125.731407,41.708946,18.042374
2017-11-08,13382.419922,241.372528,24.589773,127.125755,42.050133,17.83219
2017-11-09,13182.55957,240.496933,24.314411,126.253166,41.964245,17.813169
2017-11-10,13127.469727,240.422363,24.332769,125.542496,41.825359,17.622961
2017-11-13,13074.419922,240.645935,24.2318,125.722412,41.657742,17.618204
2017-11-14,13033.480469,240.087021,24.08494,125.479546,41.027977,17.718063
2017-11-15,12976.370117,238.885315,24.589773,125.128746,40.486816,17.515966
2017-11-16,13047.219727,240.916092,24.562237,124.921822,40.970509,17.967716
2017-11-17,12993.730469,240.208099,24.433733,124.139191,40.743034,18.088974
2017-11-20,13058.660156,240.617966,24.543879,124.076218,40.702328,18.602541
2017-11-21,13167.540039,242.192261,24.534702,124.44503,41.459,19.068554
2017-11-22,13015.040039,241.978058,24.470449,123.500496,41.894806,18.85457
2017-11-24,13059.839844,242.536957,24.406195,124.148193,41.897202,19.225479
2017-11-27,13000.200195,242.415909,24.406195,124.989922,41.686478,19.137506
2017-11-28,13059.530273,244.875107,25.369959,126.727638,41.442242,19.089956
2017-11-29,13061.870117,244.726059,25.957403,126.537552,40.5826,19.339605
2017-11-30,13023.980469,246.868729,25.966618,126.103157,41.150101,19.743803
2017-12-01,12861.490234,246.356369,25.902098,126.691452,40.958542,19.306318
2017-12-04,13058.549805,246.058228,26.787004,125.813507,40.659222,19.192192
2017-12-05,13048.540039,245.173264,26.667173,126.410881,40.620907,19.001984
2017-12-06,12998.849609,245.219818,26.399851,127.668915,40.470047,18.569256
2017-12-07,13045.150391,245.993011,26.528906,126.718597,40.544289,18.783241
2017-12-08,13153.700195,247.334442,26.777786,127.243546,40.556255,19.068554
2017-12-11,13123.650391,248.079681,26.676394,127.74131,41.346455,19.249256
2017-12-12,13183.530273,248.517456,27.026669,129.062729,41.114178,19.11611
2017-12-13,13125.639648,248.489594,26.584213,129.325195,41.250671,19.044779
2017-12-14,13068.080078,247.474152,26.482815,128.202911,41.238701,19.149395
2017-12-15,13103.55957,249.535019,26.768566,128.936035,41.657742,18.997229
2017-12-18,13312.299805,251.117325,27.174154,128.338669,42.244408,19.380024
2017-12-19,13215.790039,250.152939,27.146498,128.320526,41.794235,19.501282
2017-12-20,13069.169922,250.021866,27.174154,127.759422,41.748737,19.263521
2017-12-21,13109.740234,250.536819,27.487556,127.668915,41.906773,19.301563
2017-12-22,13072.790039,250.471329,27.542866,126.818123,41.906773,19.296808
2017-12-27,13070.019531,250.293365,27.4046,127.225426,40.850788,19.223101
2017-12-28,12979.94043,250.80835,27.469124,127.216377,40.965725,19.349115
2017-12-29,12917.639648,249.862732,27.211023,126.456108,40.522732,19.227858
2018-01-02,12871.389648,251.651062,27.5613,126.012619,41.248272,19.397144
2018-01-03,12978.209961,253.242752,27.469124,127.216377,41.241089,19.617788
2018-01-04,13167.889648,254.31015,27.828617,127.207314,41.432659,20.195551
2018-01-05,13319.639648,256.004852,27.957668,128.257202,41.904385,20.542685
2018-01-08,13367.780273,256.472992,27.764097,128.42009,41.748737,20.552195
2018-01-09,13385.589844,257.053558,27.902361,130.456543,41.74395,20.585482
2018-01-10,13281.339844,256.660278,28.16046,130.302658,41.73436,20.162264
2018-01-11,13202.900391,258.532837,28.261856,131.044815,41.97142,20.57835
2018-01-12,13245.030273,260.218231,28.750406,131.922699,42.404835,21.084782
2018-01-16,13246.330078,259.328735,28.796486,132.918304,42.189331,21.565063
2018-01-17,13183.959961,261.800598,28.741184,133.026932,42.886143,21.398628
2018-01-18,13281.429688,261.360535,29.017717,132.97261,42.924458,21.379608
2018-01-19,13434.450195,262.549683,29.238943,133.37085,42.732887,21.731497
2018-01-22,13463.69043,264.684387,29.441736,134.076797,42.383293,22.126183
2018-01-23,13559.599609,265.246185,29.423304,128.365829,42.392864,21.831356
2018-01-24,13414.740234,265.143188,29.580006,128.583023,41.717602,21.812336
2018-01-25,13298.360352,265.255554,29.580006,130.691818,40.972904,21.512754
2018-01-26,13340.169922,268.32663,29.681402,131.5336,41.068687,21.702965
2018-01-29,13324.480469,266.547607,29.755146,130.040176,40.218624,21.579329
2018-01-30,13197.709961,263.813629,29.386431,128.908844,39.981571,21.165621
2018-01-31,13189.480469,263.944702,29.497046,125.071373,40.091717,21.132336
2018-02-01,13003.900391,263.645142,29.957937,126.727638,40.175529,21.113314
2018-02-02,12785.160156,257.905579,29.450953,124.609779,38.432304,20.492754
2018-02-05,12687.490234,247.119308,27.893143,118.011833,37.472095,19.006737
2018-02-06,12392.660156,251.988098,28.759617,119.315117,39.03812,20.090935
2018-02-07,12590.429688,250.621124,28.805712,118.944046,38.202431,19.995829
2018-02-08,12260.290039,241.220596,27.413816,114.36441,37.151226,19.282543
2018-02-09,12107.480469,244.844055,27.957668,117.233482,37.605637,19.705759
2018-02-12,12282.769531,248.439484,28.685879,117.903229,39.120346,19.938766
2018-02-13,12196.5,249.057465,28.741184,117.622658,39.512245,20.024363
2018-02-14,12339.160156,252.418777,29.497046,117.360191,40.240749,20.293034
2018-02-15,12346.169922,255.639725,29.69062,118.772087,41.591965,20.257368
2018-02-16,12451.959961,255.714569,29.469393,120.509819,41.457321,20.228838
2018-02-20,12487.900391,254.11348,29.43252,118.446251,41.317875,19.496529
2018-02-21,12470.490234,252.849487,29.377211,117.577408,41.130344,19.225479
2018-02-22,12461.910156,253.1772,29.211294,117.577408,41.474155,19.44422
2018-02-23,12483.790039,257.212646,29.524698,119.487114,42.19545,19.487019
2018-02-26,12527.040039,260.199554,29.884192,120.297768,43.029736,19.865063
2018-02-27,12490.730469,256.950531,29.801237,119.933418,42.890293,19.263521
2018-02-28,12435.849609,254.347595,29.589222,118.302979,42.825367,18.906878
2018-03-01,12190.94043,250.649261,29.126602,115.934731,42.075233,18.564501
2018-03-02,11913.709961,251.941299,29.265388,117.337471,42.36615,18.623941
2018-03-05,12090.870117,254.853271,29.72801,118.220993,42.51281,18.635826
2018-03-06,12113.870117,255.499207,29.709507,116.790947,42.476757,19.0424
2018-03-07,12245.360352,255.405609,29.774271,117.537857,42.082439,18.826038
2018-03-08,12355.570313,256.641602,29.792776,120.288651,42.541664,18.783241
2018-03-09,12346.679688,261.107666,30.273903,121.87355,43.272568,18.783241
2018-03-12,12418.389648,260.780121,30.384935,120.807846,43.690914,18.859325
2018-03-13,12221.030273,259.094574,29.940817,122.374573,43.270161,18.379045
2018-03-14,12237.740234,257.765106,29.737261,120.52549,42.902306,18.902122
2018-03-15,12345.55957,257.484161,29.700251,121.199501,42.952797,19.199326
2018-03-16,12389.580078,257.763489,29.765017,121.764252,42.801327,19.192192
2018-03-19,12217.019531,254.275818,29.58922,118.63089,42.147354,18.79513
2018-03-20,12307.330078,254.708252,29.58922,119.514435,42.132935,18.902122
